# i	j	x	y	z
6.00	3.00	-4.50	-6.00	0.58
6.00	4.00	-4.50	-5.50	0.30
6.00	5.00	-4.50	-5.00	0.02
6.00	6.00	-4.50	-4.50	-0.64
6.00	7.00	-4.50	-4.00	-1.29
6.00	8.00	-4.50	-3.50	-1.44
6.00	9.00	-4.50	-3.00	-1.58
6.00	10.00	-4.50	-2.50	-0.83
6.00	11.00	-4.50	-2.00	-0.08
6.00	12.00	-4.50	-1.50	0.67
6.00	13.00	-4.50	-1.00	1.43
6.00	14.00	-4.50	-0.50	1.38
6.00	15.00	-4.50	0.00	1.33
6.00	16.00	-4.50	0.50	0.83
6.00	17.00	-4.50	1.00	0.33
6.00	18.00	-4.50	1.50	0.04
6.00	19.00	-4.50	2.00	-0.24
6.00	20.00	-4.50	2.50	-0.37
6.00	21.00	-4.50	3.00	-0.49
6.00	22.00	-4.50	3.50	-0.74
6.00	23.00	-4.50	4.00	-0.99
6.00	24.00	-4.50	4.50	-1.00
6.00	25.00	-4.50	5.00	-1.01
6.00	26.00	-4.50	5.50	-0.44
6.00	27.00	-4.50	6.00	0.13
6.00	28.00	-4.50	6.50	0.72
6.00	29.00	-4.50	7.00	1.31
7.00	1.00	-4.00	-7.00	0.15
7.00	2.00	-4.00	-6.50	0.08
7.00	3.00	-4.00	-6.00	0.02
7.00	4.00	-4.00	-5.50	-0.31
7.00	5.00	-4.00	-5.00	-0.64
7.00	6.00	-4.00	-4.50	-1.36
7.00	7.00	-4.00	-4.00	-2.08
7.00	8.00	-4.00	-3.50	-2.07
7.00	9.00	-4.00	-3.00	-2.06
7.00	10.00	-4.00	-2.50	-0.91
7.00	11.00	-4.00	-2.00	0.25
7.00	12.00	-4.00	-1.50	1.26
7.00	13.00	-4.00	-1.00	2.27
7.00	14.00	-4.00	-0.50	2.08
7.00	15.00	-4.00	0.00	1.88
7.00	16.00	-4.00	0.50	1.18
7.00	17.00	-4.00	1.00	0.48
7.00	18.00	-4.00	1.50	0.23
7.00	19.00	-4.00	2.00	-0.01
7.00	20.00	-4.00	2.50	-0.16
7.00	21.00	-4.00	3.00	-0.31
7.00	22.00	-4.00	3.50	-0.95
7.00	23.00	-4.00	4.00	-1.58
7.00	24.00	-4.00	4.50	-1.95
7.00	25.00	-4.00	5.00	-2.32
7.00	26.00	-4.00	5.50	-1.52
7.00	27.00	-4.00	6.00	-0.72
7.00	28.00	-4.00	6.50	0.51
7.00	29.00	-4.00	7.00	1.73
8.00	1.00	-3.50	-7.00	-0.51
8.00	2.00	-3.50	-6.50	-0.46
8.00	3.00	-3.50	-6.00	-0.42
8.00	4.00	-3.50	-5.50	-0.57
8.00	5.00	-3.50	-5.00	-0.72
8.00	6.00	-3.50	-4.50	-1.29
8.00	7.00	-3.50	-4.00	-1.86
8.00	8.00	-3.50	-3.50	-1.81
8.00	9.00	-3.50	-3.00	-1.76
8.00	10.00	-3.50	-2.50	-0.67
8.00	11.00	-3.50	-2.00	0.43
8.00	12.00	-3.50	-1.50	1.34
8.00	13.00	-3.50	-1.00	2.26
8.00	14.00	-3.50	-0.50	2.02
8.00	15.00	-3.50	0.00	1.78
8.00	16.00	-3.50	0.50	1.12
8.00	17.00	-3.50	1.00	0.46
8.00	18.00	-3.50	1.50	0.32
8.00	19.00	-3.50	2.00	0.17
8.00	20.00	-3.50	2.50	0.08
8.00	21.00	-3.50	3.00	0.00
8.00	22.00	-3.50	3.50	-0.68
8.00	23.00	-3.50	4.00	-1.35
8.00	24.00	-3.50	4.50	-1.88
8.00	25.00	-3.50	5.00	-2.40
8.00	26.00	-3.50	5.50	-1.78
8.00	27.00	-3.50	6.00	-1.17
8.00	28.00	-3.50	6.50	-0.04
8.00	29.00	-3.50	7.00	1.08
9.00	1.00	-3.00	-7.00	-1.16
9.00	2.00	-3.00	-6.50	-1.01
9.00	3.00	-3.00	-6.00	-0.86
9.00	4.00	-3.00	-5.50	-0.82
9.00	5.00	-3.00	-5.00	-0.79
9.00	6.00	-3.00	-4.50	-1.21
9.00	7.00	-3.00	-4.00	-1.64
9.00	8.00	-3.00	-3.50	-1.55
9.00	9.00	-3.00	-3.00	-1.46
9.00	10.00	-3.00	-2.50	-0.42
9.00	11.00	-3.00	-2.00	0.61
9.00	12.00	-3.00	-1.50	1.43
9.00	13.00	-3.00	-1.00	2.25
9.00	14.00	-3.00	-0.50	1.97
9.00	15.00	-3.00	0.00	1.69
9.00	16.00	-3.00	0.50	1.07
9.00	17.00	-3.00	1.00	0.45
9.00	18.00	-3.00	1.50	0.40
9.00	19.00	-3.00	2.00	0.35
9.00	20.00	-3.00	2.50	0.33
9.00	21.00	-3.00	3.00	0.31
9.00	22.00	-3.00	3.50	-0.41
9.00	23.00	-3.00	4.00	-1.13
9.00	24.00	-3.00	4.50	-1.80
9.00	25.00	-3.00	5.00	-2.48
9.00	26.00	-3.00	5.50	-2.04
9.00	27.00	-3.00	6.00	-1.61
9.00	28.00	-3.00	6.50	-0.59
9.00	29.00	-3.00	7.00	0.43
10.00	1.00	-2.50	-7.00	-1.20
10.00	2.00	-2.50	-6.50	-0.91
10.00	3.00	-2.50	-6.00	-0.62
10.00	4.00	-2.50	-5.50	-0.44
10.00	5.00	-2.50	-5.00	-0.26
10.00	6.00	-2.50	-4.50	-0.44
10.00	7.00	-2.50	-4.00	-0.62
10.00	8.00	-2.50	-3.50	-0.58
10.00	9.00	-2.50	-3.00	-0.53
10.00	10.00	-2.50	-2.50	0.05
10.00	11.00	-2.50	-2.00	0.62
10.00	12.00	-2.50	-1.50	1.06
10.00	13.00	-2.50	-1.00	1.50
10.00	14.00	-2.50	-0.50	1.29
10.00	15.00	-2.50	0.00	1.08
10.00	16.00	-2.50	0.50	0.73
10.00	17.00	-2.50	1.00	0.38
10.00	18.00	-2.50	1.50	0.42
10.00	19.00	-2.50	2.00	0.46
10.00	20.00	-2.50	2.50	0.52
10.00	21.00	-2.50	3.00	0.57
10.00	22.00	-2.50	3.50	0.14
10.00	23.00	-2.50	4.00	-0.30
10.00	24.00	-2.50	4.50	-0.81
10.00	25.00	-2.50	5.00	-1.31
10.00	26.00	-2.50	5.50	-1.21
10.00	27.00	-2.50	6.00	-1.09
10.00	28.00	-2.50	6.50	-0.65
10.00	29.00	-2.50	7.00	-0.20
11.00	1.00	-2.00	-7.00	-1.24
11.00	2.00	-2.00	-6.50	-0.81
11.00	3.00	-2.00	-6.00	-0.39
11.00	4.00	-2.00	-5.50	-0.05
11.00	5.00	-2.00	-5.00	0.28
11.00	6.00	-2.00	-4.50	0.34
11.00	7.00	-2.00	-4.00	0.39
11.00	8.00	-2.00	-3.50	0.40
11.00	9.00	-2.00	-3.00	0.40
11.00	10.00	-2.00	-2.50	0.52
11.00	11.00	-2.00	-2.00	0.64
11.00	12.00	-2.00	-1.50	0.70
11.00	13.00	-2.00	-1.00	0.75
11.00	14.00	-2.00	-0.50	0.61
11.00	15.00	-2.00	0.00	0.48
11.00	16.00	-2.00	0.50	0.39
11.00	17.00	-2.00	1.00	0.30
11.00	18.00	-2.00	1.50	0.44
11.00	19.00	-2.00	2.00	0.58
11.00	20.00	-2.00	2.50	0.71
11.00	21.00	-2.00	3.00	0.84
11.00	22.00	-2.00	3.50	0.68
11.00	23.00	-2.00	4.00	0.52
11.00	24.00	-2.00	4.50	0.18
11.00	25.00	-2.00	5.00	-0.15
11.00	26.00	-2.00	5.50	-0.36
11.00	27.00	-2.00	6.00	-0.58
11.00	28.00	-2.00	6.50	-0.71
11.00	29.00	-2.00	7.00	-0.84
12.00	1.00	-1.50	-7.00	-0.35
12.00	2.00	-1.50	-6.50	-0.13
12.00	3.00	-1.50	-6.00	0.09
12.00	4.00	-1.50	-5.50	0.33
12.00	5.00	-1.50	-5.00	0.57
12.00	6.00	-1.50	-4.50	0.83
12.00	7.00	-1.50	-4.00	1.08
12.00	8.00	-1.50	-3.50	1.12
12.00	9.00	-1.50	-3.00	1.16
12.00	10.00	-1.50	-2.50	0.91
12.00	11.00	-1.50	-2.00	0.66
12.00	12.00	-1.50	-1.50	0.42
12.00	13.00	-1.50	-1.00	0.18
12.00	14.00	-1.50	-0.50	0.22
12.00	15.00	-1.50	0.00	0.26
12.00	16.00	-1.50	0.50	0.42
12.00	17.00	-1.50	1.00	0.58
12.00	18.00	-1.50	1.50	0.65
12.00	19.00	-1.50	2.00	0.71
12.00	20.00	-1.50	2.50	0.74
12.00	21.00	-1.50	3.00	0.77
12.00	22.00	-1.50	3.50	0.87
12.00	23.00	-1.50	4.00	0.97
12.00	24.00	-1.50	4.50	0.96
12.00	25.00	-1.50	5.00	0.94
12.00	26.00	-1.50	5.50	0.60
12.00	27.00	-1.50	6.00	0.26
12.00	28.00	-1.50	6.50	-0.22
12.00	29.00	-1.50	7.00	-0.70
13.00	1.00	-1.00	-7.00	0.54
13.00	2.00	-1.00	-6.50	0.56
13.00	3.00	-1.00	-6.00	0.58
13.00	4.00	-1.00	-5.50	0.72
13.00	5.00	-1.00	-5.00	0.86
13.00	6.00	-1.00	-4.50	1.32
13.00	7.00	-1.00	-4.00	1.78
13.00	8.00	-1.00	-3.50	1.85
13.00	9.00	-1.00	-3.00	1.92
13.00	10.00	-1.00	-2.50	1.29
13.00	11.00	-1.00	-2.00	0.67
13.00	12.00	-1.00	-1.50	0.15
13.00	13.00	-1.00	-1.00	-0.38
13.00	14.00	-1.00	-0.50	-0.17
13.00	15.00	-1.00	0.00	0.04
13.00	16.00	-1.00	0.50	0.45
13.00	17.00	-1.00	1.00	0.86
13.00	18.00	-1.00	1.50	0.85
13.00	19.00	-1.00	2.00	0.85
13.00	20.00	-1.00	2.50	0.77
13.00	21.00	-1.00	3.00	0.70
13.00	22.00	-1.00	3.50	1.06
13.00	23.00	-1.00	4.00	1.43
13.00	24.00	-1.00	4.50	1.73
13.00	25.00	-1.00	5.00	2.03
13.00	26.00	-1.00	5.50	1.56
13.00	27.00	-1.00	6.00	1.09
13.00	28.00	-1.00	6.50	0.27
13.00	29.00	-1.00	7.00	-0.56
14.00	1.00	-0.50	-7.00	1.21
14.00	2.00	-0.50	-6.50	0.90
14.00	3.00	-0.50	-6.00	0.58
14.00	4.00	-0.50	-5.50	0.52
14.00	5.00	-0.50	-5.00	0.46
14.00	6.00	-0.50	-4.50	1.00
14.00	7.00	-0.50	-4.00	1.53
14.00	8.00	-0.50	-3.50	1.74
14.00	9.00	-0.50	-3.00	1.95
14.00	10.00	-0.50	-2.50	1.36
14.00	11.00	-0.50	-2.00	0.77
14.00	12.00	-0.50	-1.50	0.29
14.00	13.00	-0.50	-1.00	-0.19
14.00	14.00	-0.50	-0.50	0.16
14.00	15.00	-0.50	0.00	0.52
14.00	16.00	-0.50	0.50	0.97
14.00	17.00	-0.50	1.00	1.43
14.00	18.00	-0.50	1.50	1.21
14.00	19.00	-0.50	2.00	0.99
14.00	20.00	-0.50	2.50	0.68
14.00	21.00	-0.50	3.00	0.36
14.00	22.00	-0.50	3.50	0.72
14.00	23.00	-0.50	4.00	1.07
14.00	24.00	-0.50	4.50	1.53
14.00	25.00	-0.50	5.00	1.98
14.00	26.00	-0.50	5.50	1.62
14.00	27.00	-0.50	6.00	1.25
14.00	28.00	-0.50	6.50	0.51
14.00	29.00	-0.50	7.00	-0.22
15.00	1.00	0.00	-7.00	1.88
15.00	2.00	0.00	-6.50	1.23
15.00	3.00	0.00	-6.00	0.59
15.00	4.00	0.00	-5.50	0.32
15.00	5.00	0.00	-5.00	0.06
15.00	6.00	0.00	-4.50	0.67
15.00	7.00	0.00	-4.00	1.28
15.00	8.00	0.00	-3.50	1.63
15.00	9.00	0.00	-3.00	1.98
15.00	10.00	0.00	-2.50	1.42
15.00	11.00	0.00	-2.00	0.86
15.00	12.00	0.00	-1.50	0.43
15.00	13.00	0.00	-1.00	0.00
15.00	14.00	0.00	-0.50	0.50
15.00	15.00	0.00	0.00	1.00
15.00	16.00	0.00	0.50	1.50
15.00	17.00	0.00	1.00	2.00
15.00	18.00	0.00	1.50	1.57
15.00	19.00	0.00	2.00	1.14
15.00	20.00	0.00	2.50	0.58
15.00	21.00	0.00	3.00	0.02
15.00	22.00	0.00	3.50	0.37
15.00	23.00	0.00	4.00	0.72
15.00	24.00	0.00	4.50	1.33
15.00	25.00	0.00	5.00	1.94
15.00	26.00	0.00	5.50	1.67
15.00	27.00	0.00	6.00	1.41
15.00	28.00	0.00	6.50	0.76
15.00	29.00	0.00	7.00	0.12
16.00	1.00	0.50	-7.00	1.39
16.00	2.00	0.50	-6.50	0.75
16.00	3.00	0.50	-6.00	0.11
16.00	4.00	0.50	-5.50	-0.17
16.00	5.00	0.50	-5.00	-0.44
16.00	6.00	0.50	-4.50	0.09
16.00	7.00	0.50	-4.00	0.62
16.00	8.00	0.50	-3.50	1.04
16.00	9.00	0.50	-3.00	1.46
16.00	10.00	0.50	-2.50	1.20
16.00	11.00	0.50	-2.00	0.93
16.00	12.00	0.50	-1.50	0.74
16.00	13.00	0.50	-1.00	0.55
16.00	14.00	0.50	-0.50	1.02
16.00	15.00	0.50	0.00	1.48
16.00	16.00	0.50	0.50	1.82
16.00	17.00	0.50	1.00	2.17
16.00	18.00	0.50	1.50	1.66
16.00	19.00	0.50	2.00	1.15
16.00	20.00	0.50	2.50	0.51
16.00	21.00	0.50	3.00	-0.12
16.00	22.00	0.50	3.50	0.02
16.00	23.00	0.50	4.00	0.17
16.00	24.00	0.50	4.50	0.62
16.00	25.00	0.50	5.00	1.08
16.00	26.00	0.50	5.50	0.93
16.00	27.00	0.50	6.00	0.78
16.00	28.00	0.50	6.50	0.37
16.00	29.00	0.50	7.00	-0.04
17.00	1.00	1.00	-7.00	0.90
17.00	2.00	1.00	-6.50	0.27
17.00	3.00	1.00	-6.00	-0.37
17.00	4.00	1.00	-5.50	-0.66
17.00	5.00	1.00	-5.00	-0.95
17.00	6.00	1.00	-4.50	-0.49
17.00	7.00	1.00	-4.00	-0.04
17.00	8.00	1.00	-3.50	0.45
17.00	9.00	1.00	-3.00	0.95
17.00	10.00	1.00	-2.50	0.97
17.00	11.00	1.00	-2.00	1.00
17.00	12.00	1.00	-1.50	1.05
17.00	13.00	1.00	-1.00	1.10
17.00	14.00	1.00	-0.50	1.53
17.00	15.00	1.00	0.00	1.96
17.00	16.00	1.00	0.50	2.15
17.00	17.00	1.00	1.00	2.34
17.00	18.00	1.00	1.50	1.75
17.00	19.00	1.00	2.00	1.17
17.00	20.00	1.00	2.50	0.45
17.00	21.00	1.00	3.00	-0.27
17.00	22.00	1.00	3.50	-0.33
17.00	23.00	1.00	4.00	-0.38
17.00	24.00	1.00	4.50	-0.08
17.00	25.00	1.00	5.00	0.22
17.00	26.00	1.00	5.50	0.18
17.00	27.00	1.00	6.00	0.15
17.00	28.00	1.00	6.50	-0.03
17.00	29.00	1.00	7.00	-0.20
18.00	1.00	1.50	-7.00	-0.08
18.00	2.00	1.50	-6.50	-0.36
18.00	3.00	1.50	-6.00	-0.64
18.00	4.00	1.50	-5.50	-0.73
18.00	5.00	1.50	-5.00	-0.82
18.00	6.00	1.50	-4.50	-0.56
18.00	7.00	1.50	-4.00	-0.31
18.00	8.00	1.50	-3.50	0.05
18.00	9.00	1.50	-3.00	0.41
18.00	10.00	1.50	-2.50	0.66
18.00	11.00	1.50	-2.00	0.91
18.00	12.00	1.50	-1.50	1.11
18.00	13.00	1.50	-1.00	1.32
18.00	14.00	1.50	-0.50	1.53
18.00	15.00	1.50	0.00	1.74
18.00	16.00	1.50	0.50	1.73
18.00	17.00	1.50	1.00	1.71
18.00	18.00	1.50	1.50	1.34
18.00	19.00	1.50	2.00	0.96
18.00	20.00	1.50	2.50	0.49
18.00	21.00	1.50	3.00	0.02
18.00	22.00	1.50	3.50	-0.20
18.00	23.00	1.50	4.00	-0.42
18.00	24.00	1.50	4.50	-0.43
18.00	25.00	1.50	5.00	-0.45
18.00	26.00	1.50	5.50	-0.46
18.00	27.00	1.50	6.00	-0.47
18.00	28.00	1.50	6.50	-0.45
18.00	29.00	1.50	7.00	-0.43
19.00	1.00	2.00	-7.00	-1.05
19.00	2.00	2.00	-6.50	-0.98
19.00	3.00	2.00	-6.00	-0.90
19.00	4.00	2.00	-5.50	-0.79
19.00	5.00	2.00	-5.00	-0.69
19.00	6.00	2.00	-4.50	-0.64
19.00	7.00	2.00	-4.00	-0.58
19.00	8.00	2.00	-3.50	-0.35
19.00	9.00	2.00	-3.00	-0.12
19.00	10.00	2.00	-2.50	0.35
19.00	11.00	2.00	-2.00	0.82
19.00	12.00	2.00	-1.50	1.18
19.00	13.00	2.00	-1.00	1.54
19.00	14.00	2.00	-0.50	1.53
19.00	15.00	2.00	0.00	1.52
19.00	16.00	2.00	0.50	1.31
19.00	17.00	2.00	1.00	1.09
19.00	18.00	2.00	1.50	0.92
19.00	19.00	2.00	2.00	0.75
19.00	20.00	2.00	2.50	0.54
19.00	21.00	2.00	3.00	0.32
19.00	22.00	2.00	3.50	-0.07
19.00	23.00	2.00	4.00	-0.45
19.00	24.00	2.00	4.50	-0.78
19.00	25.00	2.00	5.00	-1.11
19.00	26.00	2.00	5.50	-1.10
19.00	27.00	2.00	6.00	-1.08
19.00	28.00	2.00	6.50	-0.86
19.00	29.00	2.00	7.00	-0.65
20.00	1.00	2.50	-7.00	-1.23
20.00	2.00	2.50	-6.50	-0.89
20.00	3.00	2.50	-6.00	-0.55
20.00	4.00	2.50	-5.50	-0.32
20.00	5.00	2.50	-5.00	-0.09
20.00	6.00	2.50	-4.50	-0.28
20.00	7.00	2.50	-4.00	-0.46
20.00	8.00	2.50	-3.50	-0.45
20.00	9.00	2.50	-3.00	-0.44
20.00	10.00	2.50	-2.50	0.08
20.00	11.00	2.50	-2.00	0.59
20.00	12.00	2.50	-1.50	0.98
20.00	13.00	2.50	-1.00	1.37
20.00	14.00	2.50	-0.50	1.14
20.00	15.00	2.50	0.00	0.92
20.00	16.00	2.50	0.50	0.58
20.00	17.00	2.50	1.00	0.25
20.00	18.00	2.50	1.50	0.34
20.00	19.00	2.50	2.00	0.43
20.00	20.00	2.50	2.50	0.55
20.00	21.00	2.50	3.00	0.66
20.00	22.00	2.50	3.50	0.26
20.00	23.00	2.50	4.00	-0.15
20.00	24.00	2.50	4.50	-0.65
20.00	25.00	2.50	5.00	-1.15
20.00	26.00	2.50	5.50	-1.08
20.00	27.00	2.50	6.00	-1.01
20.00	28.00	2.50	6.50	-0.62
20.00	29.00	2.50	7.00	-0.24
21.00	1.00	3.00	-7.00	-1.41
21.00	2.00	3.00	-6.50	-0.80
21.00	3.00	3.00	-6.00	-0.19
21.00	4.00	3.00	-5.50	0.15
21.00	5.00	3.00	-5.00	0.50
21.00	6.00	3.00	-4.50	0.08
21.00	7.00	3.00	-4.00	-0.34
21.00	8.00	3.00	-3.50	-0.55
21.00	9.00	3.00	-3.00	-0.76
21.00	10.00	3.00	-2.50	-0.20
21.00	11.00	3.00	-2.00	0.37
21.00	12.00	3.00	-1.50	0.78
21.00	13.00	3.00	-1.00	1.20
21.00	14.00	3.00	-0.50	0.76
21.00	15.00	3.00	0.00	0.31
21.00	16.00	3.00	0.50	-0.14
21.00	17.00	3.00	1.00	-0.60
21.00	18.00	3.00	1.50	-0.24
21.00	19.00	3.00	2.00	0.12
21.00	20.00	3.00	2.50	0.56
21.00	21.00	3.00	3.00	1.00
21.00	22.00	3.00	3.50	0.58
21.00	23.00	3.00	4.00	0.16
21.00	24.00	3.00	4.50	-0.52
21.00	25.00	3.00	5.00	-1.19
21.00	26.00	3.00	5.50	-1.06
21.00	27.00	3.00	6.00	-0.93
21.00	28.00	3.00	6.50	-0.38
21.00	29.00	3.00	7.00	0.18
22.00	1.00	3.50	-7.00	-0.79
22.00	2.00	3.50	-6.50	-0.22
22.00	3.00	3.50	-6.00	0.35
22.00	4.00	3.50	-5.50	0.55
22.00	5.00	3.50	-5.00	0.76
22.00	6.00	3.50	-4.50	0.19
22.00	7.00	3.50	-4.00	-0.38
22.00	8.00	3.50	-3.50	-0.67
22.00	9.00	3.50	-3.00	-0.96
22.00	10.00	3.50	-2.50	-0.40
22.00	11.00	3.50	-2.00	0.16
22.00	12.00	3.50	-1.50	0.61
22.00	13.00	3.50	-1.00	1.06
22.00	14.00	3.50	-0.50	0.64
22.00	15.00	3.50	0.00	0.21
22.00	16.00	3.50	0.50	-0.26
22.00	17.00	3.50	1.00	-0.73
22.00	18.00	3.50	1.50	-0.41
22.00	19.00	3.50	2.00	-0.10
22.00	20.00	3.50	2.50	0.35
22.00	21.00	3.50	3.00	0.79
22.00	22.00	3.50	3.50	0.46
22.00	23.00	3.50	4.00	0.12
22.00	24.00	3.50	4.50	-0.41
22.00	25.00	3.50	5.00	-0.93
22.00	26.00	3.50	5.50	-0.66
22.00	27.00	3.50	6.00	-0.39
22.00	28.00	3.50	6.50	0.20
22.00	29.00	3.50	7.00	0.79
23.00	1.00	4.00	-7.00	-0.18
23.00	2.00	4.00	-6.50	0.35
23.00	3.00	4.00	-6.00	0.89
23.00	4.00	4.00	-5.50	0.95
23.00	5.00	4.00	-5.00	1.01
23.00	6.00	4.00	-4.50	0.30
23.00	7.00	4.00	-4.00	-0.42
23.00	8.00	4.00	-3.50	-0.79
23.00	9.00	4.00	-3.00	-1.17
23.00	10.00	4.00	-2.50	-0.61
23.00	11.00	4.00	-2.00	-0.05
